"uld_id","reload_time","des_airport","reload_id","reload_area"
"Reload22_ot38_HKG_7","15386","HKG","Re22","8_6"
"Reload6_ot26_WUX_10","15389.34286","WUX","Re6","9"
"Reload16_ot6_SGN_4","15390.14286","SGN","Re16","4_1"
"Reload2_ot22_CGO_4","15394.07143","CGO","Re2","1"
"Reload5_ot26_WUX_10","15401.88571","WUX","Re5","9"
"Reload6_ot25_WUX_10","15402.35714","WUX","Re6","9"
"Reload20_ot15_iSIN_3","15406.11429","iSIN","Re20","8_3"
"Reload2_ot23_CGO_4","15412.14286","CGO","Re2","1"
"Reload1_ot26_CAN_4","15413.92857","CAN","Re1","1"
"Reload22_ot39_HKG_7","15418.71429","HKG","Re22","8_6"
"Reload7_ot1_CKG_4","15430.41429","CKG","Re7","9"
"Reload2_ot10_ZUH_4","15430.74857","ZUH","Re2","1"
"Reload2_ot27_CGO_4","15434.42572","CGO","Re2","1"
"Reload22_ot31_iHKG_2","15439.11429","iHKG","Re22","8_6"
"Reload6_ot30_XMN_4","15439.49143","XMN","Re6","9"
"Reload12_ot6_WEH_7","15446.9","WEH","Re12","7"
"Reload20_ot24_iSIN_3","15447.78572","iSIN","Re20","8_3"
"Reload7_ot6_CKG_4","15448.70572","CKG","Re7","9"
"Reload13_ot33_PVG_5","15449","PVG","Re13","3"
"Reload7_ot30_KHN_7","15449.88","KHN","Re7","9"
"Reload1_ot36_CAN_4","15450.92857","CAN","Re1","1"
"Reload27_ot1_OSA_3","15451.42857","OSA","Re27","4_4"
"Reload10_ot10_SJW_9","15452.34286","SJW","Re10","10"
"Reload18_ot2_iCGN_5","15453.5","iCGN","Re18","6_1"
"Reload6_ot32_XMN_4","15456.16143","XMN","Re6","9"
"Reload3_ot32_BHY_1","15456.56","BHY","Re3","5"
"Reload27_ot2_OSA_3","15462.29","OSA","Re27","4_4"
"Reload2_ot31_CGO_0","15463.28571","CGO","Re2","1"
"Reload2_ot24_CGO_4","15467.85714","CGO","Re2","1"
"Reload25_ot2_iNRT_3","15468.5","iNRT","Re25","8_2"
"Reload15_ot34_PEK_4","15471.6","PEK","Re15","2"
"Reload9_ot1_TNA_3","15476.06","TNA","Re9","10"
"Reload22_ot34_iHKG_2","15476.14714","iHKG","Re22","8_6"
"Reload27_ot4_OSA_3","15478.7","OSA","Re27","4_4"
"Reload12_ot12_LYG_4","15487.39286","LYG","Re12","7"
"Reload6_ot40_XMN_2","15488.35","XMN","Re6","9"
"Reload20_ot9_JNB_3","15491.14286","JNB","Re20","8_3"
"Reload2_ot11_ZUH_4","15493.06572","ZUH","Re2","1"
"Reload3_ot30_LHW_8","15495.88572","LHW","Re3","5"
"Reload25_ot8_iNRT_3","15496.5","iNRT","Re25","8_2"
"Reload1_ot33_CAN_4","15497.07143","CAN","Re1","1"
"Reload2_ot29_PEK_0","15498.5","PEK","Re2","1"
"Reload11_ot3_WEF_9","15499.51286","WEF","Re11","7"
"Reload16_ot5_SGN_4","15504.08572","SGN","Re16","4_1"
"Reload3_ot33_BHY_1","15508.1","BHY","Re3","5"
"Reload1_ot1_CAN_4","15510.5","CAN","Re1","1"
"Reload4_ot7_SWA_2","15511.22","SWA","Re4","5"
"Reload20_ot19_iSIN_3","15512.64286","iSIN","Re20","8_3"
"Reload1_ot39_CAN_4","15515.71429","CAN","Re1","1"
"Reload2_ot25_CGO_4","15519.35714","CGO","Re2","1"
"Reload14_ot4_HGH_4","15520.92857","HGH","Re14","3"
"Reload6_ot24_WUX_10","15527.89714","WUX","Re6","9"
"Reload8_ot24_SHE_4","15529.70714","SHE","Re8","10"
"Reload18_ot7_iCGN_5","15530.14286","iCGN","Re18","6_1"
"Reload20_ot12_JNB_3","15531.5","JNB","Re20","8_3"
"Reload1_ot5_CAN_4","15533.42857","CAN","Re1","1"
